doi,all_authors,title,genre,published_date,year,journal_name,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa_normalized,oa_status_normalized,oa_host_type_normalized,oa_host_domain,doi_prefix,publisher_by_doiprefix
10.1016/j.omtn.2019.09.018,Maurin T.|Lalli E.|Capovilla M.|Grossi M.|Jarjat M.|Castagnola S.|Drozd M.|Delhaye S.|Bardoni B.|Brau F.,Reduction of Fmr1 mRNA levels rescues pathological features in cortical neurons in a model of Fragile X associated Tremor Ataxia Syndrome,journal-article,2019-12-01,2019,Molecular Therapy - Nucleic Acids,2162-2531,True,True,Elsevier BV,Accès ouvert,Gold,Editeur et archive ouverte,"doi.org,europepmc.org,repub.eur.nl,www.ncbi.nlm.nih.gov",10.1016,Elsevier BV
10.3847/0004-637X/832/1/33,Abe L.,"SEEDS DIRECT IMAGING OF THE RV-DETECTED COMPANION TO V450 ANDROMEDAE, AND CHARACTERIZATION OF THE SYSTEM",journal-article,2016-11-14,2016,The Astrophysical Journal,0004-637X,False,False,American Astronomical Society,Accès ouvert,Green,Archive ouverte,"repository.arizona.edu,arxiv.org",10.3847,American Astronomical Society
10.1039/c9md00195f,Duca M.|Di Giorgio A.,Synthetic small-molecule RNA ligands: future prospects as therapeutic agents,journal-article,2019-01-01,2019,MedChemComm,2040-2503,False,False,Royal Society of Chemistry (RSC),Accès ouvert,Green,Archive ouverte,"europepmc.org,www.ncbi.nlm.nih.gov",10.1039,
10.1007/978-3-030-30048-7_17,Isoart N.|Régin J.,Integration of Structural Constraints into TSP Models,book-chapter,2019-01-01,2019,Principles and Practice of Constraint Programming,0302-9743,False,False,Springer International Publishing,Accès ouvert,Green,Archive ouverte,"hal.archives-ouvertes.fr,hal.archives-ouvertes.fr",10.1007,Springer Science and Business Media LLC
10.1038/s42255-019-0062-7,Jager J.,Author Correction: Liver macrophages regulate systemic metabolism through non-inflammatory factors,journal-article,2019-04-01,2019,Nature Metabolism,2522-5812,False,False,Springer Science and Business Media LLC,Accès ouvert,Bronze,Editeur,www.nature.com,10.1038,Springer Science and Business Media LLC
10.1007/s10955-020-02598-w,Bernardin C.|Chétrite R.|Chopra Y.,From Fluctuating Kinetics to Fluctuating Hydrodynamics: A $$\Gamma $$-Convergence of Large Deviations Functionals Approach,journal-article,2020-07-02,2020,Journal of Statistical Physics,0022-4715,False,False,Springer Science and Business Media LLC,Accès fermé,Closed,Accès fermé,,10.1007,Springer Science and Business Media LLC
10.12681/mms.1231,Cheminée A.|Francour P.,Does habitat complexity influence fish recruitment?,journal-article,2015-01-20,2015,Mediterranean Marine Science,1108-393X,True,True,National Documentation Centre (EKT),Accès ouvert,Gold,Editeur et archive ouverte,"doi.org,archimer.ifremer.fr,ejournals.epublishing.ekt.gr,hal-univ-perp.archives-ouvertes.fr,hal-univ-perp.archives-ouvertes.fr",10.12681,National Documentation Centre (EKT)
10.1111/ele.13192,Vercken E.|Mailleret L.|Assa C.R.,Its all about connections: hubs and invasion in habitat networks,journal-article,2018-12-09,2018,Ecology Letters,1461-023X,False,False,Wiley,Accès ouvert,Green,Archive ouverte,"hal.inria.fr,hal.inria.fr",10.1111,Wiley
10.1080/00015385.2018.1522074,Raffort J.|Lareyre F.,Diabetes mellitus is not associated with worse vascular outcome following percutaneous transfemoral transcatheter aortic valve implantation,journal-article,2019-01-14,2019,Acta Cardiologica,0001-5385,False,False,Informa UK Limited,Accès fermé,Closed,Accès fermé,,10.1080,Informa UK Limited
10.15252/emmm.201505384,Rezzonico R.,Identification of a novel PPARβ/δ/miR‐21‐3p axis in UV‐induced skin inflammation,journal-article,2016-06-01,2016,EMBO Molecular Medicine,1757-4676,True,True,EMBO,Accès ouvert,Gold,Editeur et archive ouverte,"doi.org,europepmc.org,hal.archives-ouvertes.fr,serval.unil.ch,hal.archives-ouvertes.fr,www.ncbi.nlm.nih.gov,www.zora.uzh.ch,www.zora.uzh.ch",10.15252,EMBO
